"","rownum","Player","Age","Team","Pos","MIN","eFG..Rank","eFG.","Rim.Rank","Rim","Short.Mid.Rank","Short.Mid","Long.Mid.Rank","Long.Mid","All.Mid.Rank","All.Mid","Corner.Three.Rank","Corner.Three","Non.Corner.Rank","Non.Corner","All.Three.Rank","All.Three","Season","Second.year"
"81","1","Alec Burks",27.3,"UTA","Wing",255,28,"48.10%",90,"69%",6,"10%",15,"25%",4,"16%",0,"0%",96,"44%",63,"37%","2018-2019",2019
"82","1","Alec Burks",27.3,"SAC","Wing",111,13,"45.00%",100,"88%",21,"25%",87,"50%",35,"33%",0,"0%",0,"0%",0,"0%","2018-2019",2019
"83","1","Deonte Burton",24.8,"OKC","Forward",220,8,"43.80%",11,"50%",7,"18%",99,"67%",14,"29%",0,"17%",0,"40%",15,"30%","2018-2019",2019
"84","1","Jimmy Butler",29.1,"PHI","Forward",1823,31,"49.50%",70,"66%",62,"39%",32,"31%",39,"35%",15,"29%",66,"36%",53,"34%","2018-2019",2019
"85","1","Jimmy Butler",29.1,"MIN","Wing",361,70,"52.90%",59,"62%",70,"42%",50,"38%",66,"41%",0,"46%",57,"35%",77,"39%","2018-2019",2019
"86","1","Bruno Caboclo",23.1,"MEM","Forward",783,68,"54.30%",35,"59%",13,"25%",80,"50%",27,"31%",44,"35%",84,"39%",74,"38%","2018-2019",2019
"87","1","Jose Calderon",37.1,"DET","Combo",580,14,"45.10%",10,"50%",10,"29%",97,"58%",100,"53%",0,"33%",4,"23%",5,"25%","2018-2019",2019
"88","1","Kentavious Caldwell-Pope",25.7,"LAL","Wing",1989,73,"53.30%",70,"64%",73,"43%",82,"46%",87,"45%",57,"41%",38,"33%",48,"35%","2018-2019",2019
"89","1","Isaiah Canaan",27.4,"PHX","Combo",500,47,"49.20%",2,"42%",56,"40%",98,"64%",98,"52%",58,"43%",32,"31%",53,"35%","2018-2019",2019
"90","1","Clint Capela",24.5,"HOU","Big",2244,95,"64.80%",80,"71%",27,"34%",2,"0%",22,"33%",0,"0%",0,"0%",0,"0%","2018-2019",2019
"91","1","DeMarre Carroll",32.3,"BKN","Forward",1696,30,"49.00%",41,"60%",27,"30%",39,"35%",30,"31%",46,"36%",42,"34%",49,"34%","2018-2019",2019
"92","1","Jevon Carter",23.1,"MEM","Combo",533,5,"39.90%",0,"26%",15,"30%",17,"25%",3,"27%",31,"35%",47,"33%",46,"34%","2018-2019",2019
"93","1","Vince Carter",41.8,"ATL","Big",1322,56,"55.40%",20,"59%",47,"39%",46,"34%",39,"37%",92,"47%",75,"37%",84,"39%","2018-2019",2019
"94","1","Wendell Carter",19.5,"CHI","Big",1102,12,"49.30%",49,"65%",34,"36%",70,"41%",45,"38%",0,"14%",6,"24%",3,"19%","2018-2019",2019
